egg.count,egg.dens,b.depth,lat,lon,time,salinity,flow,s.depth,temp.surf,temp.20m,net.area,country,vessel,vessel.haul,c.dist
0,0,120,45.12,-2.35,9.08,NA,367,103,17.8,17.8,0.242,SP,COSA,290,0.029447181
0,0,120,45.12,-2.27,9.42,35.4,377,101,17.8,17.8,0.242,SP,COSA,291,0.056291357
1,22.12,116,45.12,-2.2,10.22,NA,415,103,18,18,0.242,SP,COSA,292,0.090700514
0,0,111,45.12,-2.13,10.67,NA,403,100,18.3,18.3,0.242,SP,COSA,293,0.133428066
0,0,104,45.12,-2.07,11.25,35.01,413,103,18.5,18.5,0.242,SP,COSA,294,0.180732536
0,0,100,45.12,-1.98,11.75,NA,375,95,18.6,18.6,0.242,SP,COSA,295,0.238802319
0,0,95,45.12,-1.92,12.25,NA,329,94,18.6,18.6,0.242,SP,COSA,296,0.262181456
0,0,79,45.12,-1.78,16.18,34.45,298,76,19.4,19.4,0.242,SP,COSA,297,0.341425044
0,0,71,45.12,-1.7,16.83,34.36,277,64,19.7,19.7,0.242,SP,COSA,298,0.399251784
2,46.74,60,45.12,-1.57,17.77,34.46,237,56,19.2,19.2,0.242,SP,COSA,299,0.506263017
0,0,52,45.12,-1.48,18.42,NA,199,49,18.9,18.9,0.242,SP,COSA,300,0.585821675
0,0,40,45.12,-1.42,18.83,34.38,143,38,19.1,19.1,0.242,SP,COSA,301,0.640398493
0,0,31,45.12,-1.35,19.33,NA,111,30,19.1,19.1,0.242,SP,COSA,302,0.705185997
0,0,26,45.12,-1.28,19.92,34.47,90,25,19,19,0.242,SP,COSA,303,0.770885433
0,0,27,45.18,-1.28,20.42,NA,96,26,19,19,0.242,SP,COSA,304,0.792713133
0,0,27,45.25,-1.28,21.17,34.57,96,27,18.8,18.8,0.242,SP,COSA,305,0.822989773
0,0,29,45.3,-1.28,21.75,NA,94,27,18.8,18.8,0.242,SP,COSA,306,0.847498456
0,0,29,45.37,-1.28,22.33,34.62,98,25,18.6,18.6,0.242,SP,COSA,307,0.885421757
0,0,35,45.37,-1.37,22.9,NA,141,27,18.5,18.5,0.242,SP,COSA,308,0.813072503
0,0,41,45.37,-1.42,23.42,34.49,143,34,18.5,18.5,0.242,SP,COSA,309,0.7744789
0,0,46,45.37,-1.48,0.08,NA,169,37,18.4,18.4,0.242,SP,COSA,310,0.729996145
0,0,51,45.37,-1.57,0.7,NA,203,44,18.3,18.3,0.242,SP,COSA,311,0.667839486
0,0,51,45.37,-1.63,1.25,34.32,203,41,18.3,18.3,0.242,SP,COSA,312,0.630147907
0,0,56,45.37,-1.72,1.92,NA,190,50,18.4,18.4,0.242,SP,COSA,313,0.579798406
0,0,66,45.37,-1.78,2.5,34.27,232,63,18.5,18.5,0.242,SP,COSA,314,0.548685053
0,0,74,45.37,-1.85,3,NA,256,70,18.4,18.4,0.242,SP,COSA,315,0.508769695
0,0,78,45.37,-1.92,3.53,34.43,281,75,18.4,18.4,0.242,SP,COSA,316,0.458624554
1,25.27,82,45.37,-1.98,4,NA,296,81,18.4,18.4,0.242,SP,COSA,317,0.420186123
0,0,92,45.37,-2.07,4.57,NA,334,85,18.3,18.3,0.242,SP,COSA,318,0.372164629
0,0,97,45.37,-2.13,5.08,35.23,345,95,18.4,18.4,0.242,SP,COSA,319,0.342784142
0,0,103,45.37,-2.2,5.73,NA,366,101,18.3,18.3,0.242,SP,COSA,320,0.31354037
0,0,102,45.52,-2.28,10.5,35.02,378,99,18.4,18.4,0.242,SP,COSA,321,0.42333351
0,0,99,45.62,-2.28,11.58,35.08,356,95,18.4,18.4,0.242,SP,COSA,322,0.518485633
0,0,92,45.62,-2.2,12.2,NA,369,90,18.5,18.5,0.242,SP,COSA,323,0.545012954
1,24.56,83,45.62,-2.12,12.67,NA,297,79,18.4,18.4,0.242,SP,COSA,324,0.575982296
4,89.82,79,45.62,-2.07,13.17,34.86,307,74,18.5,18.5,0.242,SP,COSA,325,0.593773987
0,0,31,45.43,-1.35,22.03,34.74,108,28,18.8,18.8,0.242,SP,COSA,366,0.866674326
4,93.04,34,45.3,-1.35,0.75,NA,116,30,18.1,18.1,0.242,SP,COSA,367,0.788210995
0,0,33,45.23,-1.35,1.25,34.63,113,29,18.3,18.3,0.242,SP,COSA,368,0.751903264
0,0,41,45.23,-1.42,1.87,NA,110,28,18.2,18.2,0.242,SP,COSA,369,0.691506658
1,23.3,50,45.23,-1.48,2.37,NA,165,42,18.3,18.3,0.242,SP,COSA,370,0.641294209
0,0,57,45.25,-1.57,2.82,34.33,203,49,18.7,18.7,0.242,SP,COSA,371,0.582537602
2,46.38,63,45.23,-1.63,3.23,NA,235,58,18.6,18.6,0.242,SP,COSA,372,0.524833569
3,51.3,68,45.25,-1.7,3.68,NA,297,55,18.4,18.4,0.242,SP,COSA,373,0.492391919
3,61.56,74,45.25,-1.78,4.23,34.4,288,64,18.4,18.4,0.242,SP,COSA,374,0.446447069
0,0,77,45.25,-1.85,4.82,NA,282,67,18.4,18.4,0.242,SP,COSA,375,0.409829124
0,0,84,45.23,-1.92,5.4,NA,309,81,18.3,18.3,0.242,SP,COSA,376,0.362898186
0,0,90,45.25,-1.98,5.92,34.9,307,87,18.2,18.2,0.242,SP,COSA,377,0.331920027
1,24.24,105,45.25,-2.13,6.67,NA,371,100,18.1,18.1,0.242,SP,COSA,378,0.238268664
0,0,108,45.37,-2.28,8.25,34.86,394,100,18.4,18.4,0.242,SP,COSA,379,0.284430481
0,0,108,45.37,-2.35,8.67,34.65,389,104,18.4,18.4,0.242,SP,COSA,380,0.25907446
1,22.65,112,45.37,-2.48,9.58,35.46,397,100,18.1,18.1,0.242,SP,COSA,381,0.230781501
0,0,120,45.37,-2.63,10.5,NA,271,103,18,18,0.242,SP,COSA,382,0.189252156
0,0,124,45.37,-2.7,11,NA,384,101,17.8,17.8,0.242,SP,COSA,383,0.183555282
0,0,133,45.37,-2.77,14.6,35.73,382,103,18.3,18.3,0.242,SP,COSA,384,0.174047535
1,21.31,130,45.37,-2.85,15.28,NA,401,95,18.1,18.1,0.242,SP,COSA,385,0.15628605
1,23.02,139,45.37,-2.92,15.72,35.36,395,102,18,18,0.242,SP,COSA,386,0.116820107
0,0,136,45.37,-2.98,16.32,NA,410,97,17.7,17.7,0.242,SP,COSA,387,0.081535108
1,20.47,147,45.37,-3.05,16.75,NA,384,94,17.3,17.3,0.242,SP,COSA,388,0.028882408
5,107.79,158,45.37,-3.13,17.22,NA,384,99,17.3,17.3,0.242,SP,COSA,389,0.016790237
0,0,178,45.37,-3.2,17.67,35.61,370,102,17.2,17.2,0.242,SP,COSA,390,0.052057902
0,0,592,45.37,-3.27,18.17,NA,376,100,17.3,17.3,0.242,SP,COSA,391,0.116108057
9,196.28,941,45.37,-3.35,18.62,35.7,387,100,17.4,17.4,0.242,SP,COSA,392,0.19439871
2,47.25,2570,45.37,-3.42,19.5,NA,368,103,17.4,17.4,0.242,SP,COSA,393,0.251259574
0,0,3200,45.37,-3.48,20.17,NA,375,101,17.5,17.5,0.242,SP,COSA,394,0.291093129
0,0,3527,45.37,-3.55,20.67,NA,375,102,17.6,17.6,0.242,SP,COSA,395,0.341789034
0,0,3611,45.37,-3.62,21.08,35.7,370,103,17.6,17.6,0.242,SP,COSA,396,0.388613998
0,0,3723,45.37,-3.7,21.5,NA,378,103,17.6,17.6,0.242,SP,COSA,397,0.436780645
0,0,3691,45.37,-3.83,22.2,NA,343,100,17.2,17.2,0.242,SP,COSA,398,0.517994607
0,0,3960,45.37,-3.98,22.9,35.69,346,91,17,17,0.242,SP,COSA,399,0.613023785
2,49.59,3789,45.52,-4.12,0.37,35.66,341,104,17,17,0.242,SP,COSA,400,0.597680187
5,112.71,3964,45.62,-4.27,1.48,35.63,368,104,16.8,16.8,0.242,SP,COSA,401,0.604230196
1,22.09,4015,45.62,-4.2,2.27,NA,379,103,17,17,0.242,SP,COSA,402,0.566716265
1,20.62,3498,45.62,-4.13,2.7,NA,387,101,16.7,16.7,0.242,SP,COSA,403,0.52951713
2,45.7,2602,45.62,-4.05,3.15,NA,363,103,16.9,16.9,0.242,SP,COSA,404,0.480485572
0,0,2183,45.62,-3.98,3.67,35.69,417,101,17,17,0.242,SP,COSA,405,0.425778442
0,0,1879,45.62,-3.92,5.02,NA,356,103,17.1,17.1,0.242,SP,COSA,406,0.380529904
1,21.21,2354,45.62,-3.85,5.47,NA,387,100,17.1,17.1,0.242,SP,COSA,407,0.333673526
1,23.48,1794,45.62,-3.78,5.92,35.61,360,103,17.1,17.1,0.242,SP,COSA,408,0.29512773
1,21.81,2101,45.62,-3.7,6.42,NA,373,101,16.9,16.9,0.242,SP,COSA,409,0.253266977
2,40.89,1294,45.62,-3.63,6.8,NA,394,101,16.8,16.8,0.242,SP,COSA,410,0.200372006
1,25.45,1144,45.62,-3.55,7.25,35.6,326,104,16.8,16.8,0.242,SP,COSA,411,0.146859822
0,0,419,45.62,-3.48,13.92,NA,251,66,17,17,0.242,SP,COSA,412,0.104714006
0,0,169,45.62,-3.42,14.33,NA,376,104,16.6,16.6,0.242,SP,COSA,413,0.068589021
0,0,148,45.62,-3.35,14.88,35.55,347,105,16.6,16.6,0.242,SP,COSA,414,0.024555272
1,21.82,136,45.62,-3.27,15.6,NA,373,103,16.7,16.7,0.242,SP,COSA,415,0.033385505
1,18.89,135,45.62,-3.2,16,NA,418,99,16.8,16.8,0.242,SP,COSA,416,0.071696885
0,0,139,45.62,-3.13,16.5,35.58,373,99,17,17,0.242,SP,COSA,417,0.102588002
1,18.53,133,45.62,-3.07,16.88,NA,435,103,16.6,16.6,0.242,SP,COSA,418,0.147611337
0,0,133,45.62,-2.98,17.42,35.58,402,101,17.3,17.3,0.242,SP,COSA,419,0.224110511
1,22.15,125,45.62,-2.92,17.95,35.62,381,100,17.4,17.4,0.242,SP,COSA,420,0.276248309
0,0,121,45.62,-2.77,18.92,NA,401,100,17.6,17.6,0.242,SP,COSA,421,0.403859887
0,0,121,45.62,-2.7,19.33,35.51,368,100,17.7,17.7,0.242,SP,COSA,422,0.432175784
0,0,117,45.62,-2.63,19.9,NA,388,100,17.8,17.8,0.242,SP,COSA,423,0.439134818
0,0,114,45.62,-2.57,20.4,NA,388,100,17.8,17.8,0.242,SP,COSA,424,0.444408672
0,0,112,45.62,-2.48,20.83,NA,413,99,18,18,0.242,SP,COSA,425,0.46482728
0,0,106,45.62,-2.42,21.27,35.06,408,99,18.2,18.2,0.242,SP,COSA,426,0.483071751
0,0,90,45.48,-2.2,23,NA,395,85,18.3,18.3,0.242,SP,COSA,427,0.418130242
0,0,82,45.52,-2.07,23.83,NA,349,74,18,18,0.242,SP,COSA,428,0.503336839
1,21.28,73,45.87,-2.07,17.33,NA,274,66,17.9,17.9,0.242,SP,COSA,443,0.826155082
0,0,77,45.87,-2.13,17.82,35.46,294,71,17.8,17.8,0.242,SP,COSA,444,0.803284885
5,117.62,79,45.87,-2.2,18.58,NA,294,79,17.8,17.8,0.242,SP,COSA,445,0.78097259
6,148.56,84,45.87,-2.28,19.03,NA,297,84,17.8,17.8,0.242,SP,COSA,446,0.75876255
0,0,91,45.87,-2.35,19.5,35.53,313,90,17.3,17.3,0.242,SP,COSA,447,0.741915033
0,0,98,45.87,-2.42,20.17,NA,352,89,17.4,17.4,0.242,SP,COSA,448,0.721887207
0,0,98,45.87,-2.48,20.67,NA,363,95,17.3,17.3,0.242,SP,COSA,449,0.707114982
0,0,101,45.87,-2.57,21,NA,365,97,17.3,17.3,0.242,SP,COSA,450,0.692475327
0,0,106,45.87,-2.7,21.93,35.57,384,102,16.7,16.7,0.242,SP,COSA,451,0.594133155
0,0,114,45.87,-2.85,22.67,NA,383,100,17.3,17.3,0.242,SP,COSA,452,0.476793649
1,19.92,120,45.87,-2.98,23.5,35.58,400,98,17,17,0.242,SP,COSA,453,0.393478206
0,0,123,45.87,-3.13,0.25,35.75,376,100,16,16,0.242,SP,COSA,454,0.307568693
0,0,135,45.87,-3.28,1,35.72,381,101,16.5,16.5,0.242,SP,COSA,455,0.215310971
0,0,138,45.87,-3.35,1.58,NA,376,101,16.5,16.5,0.242,SP,COSA,456,0.173165155
0,0,138,45.87,-3.42,2.08,NA,373,102,16.4,16.4,0.242,SP,COSA,457,0.117052398
0,0,139,45.87,-3.48,2.62,NA,374,101,16.4,16.4,0.242,SP,COSA,458,0.077667895
0,0,137,45.87,-3.57,3.17,35.74,364,102,16.3,16.3,0.242,SP,COSA,459,0.027800109
1,19.2,151,45.87,-3.63,3.82,NA,388,100,16.1,16.1,0.242,SP,COSA,460,0.003595456
1,20.25,180,45.87,-3.7,4.28,NA,375,103,16,16,0.242,SP,COSA,461,0.053327982
0,0,175,45.87,-3.78,4.93,NA,385,101,16.1,16.1,0.242,SP,COSA,462,0.117197621
1,19.9,934,45.87,-3.85,5.43,NA,378,100,16.2,16.2,0.242,SP,COSA,463,0.160365485
1,20.42,598,45.87,-3.92,5.85,35.62,372,99,16.4,16.4,0.242,SP,COSA,464,0.203268098
1,19.49,1003,45.87,-3.98,6.42,NA,386,99,16.3,16.3,0.242,SP,COSA,465,0.238701269
1,19.42,1972,45.87,-4.07,6.83,35.72,395,99,16.5,16.5,0.242,SP,COSA,466,0.285704767
0,0,2443,45.87,-4.13,7.25,NA,385,101,16,16,0.242,SP,COSA,467,0.318831364
0,0,2323,45.87,-4.2,7.83,NA,373,101,16.4,16.4,0.242,SP,COSA,468,0.364499342
3,61.33,3024,45.87,-4.28,8.33,35.71,379,100,16.5,16.5,0.242,SP,COSA,469,0.419677319
0,0,3463,45.87,-4.35,9.08,NA,390,101,16.5,16.5,0.242,SP,COSA,470,0.461854508
0,0,4097,45.87,-4.42,9.5,NA,389,99,16.5,16.5,0.242,SP,COSA,471,0.503601933
0,0,4142,45.87,-4.57,10.25,NA,393,99,16,16,0.242,SP,COSA,472,0.579097532
0,0,3640,45.87,-4.63,11.07,NA,387,100,16,16,0.242,SP,COSA,473,0.601955297
0,0,3496,46.02,-4.8,12.17,35.75,377,100,15,15,0.242,SP,COSA,474,0.559715201
1,19.44,3883,46.12,-4.95,13.42,35.72,387,100,16.2,16.2,0.242,SP,COSA,475,0.507597809
0,0,2765,46.12,-4.88,14.17,NA,395,99,16.4,16.4,0.242,SP,COSA,476,0.506071533
0,0,2254,46.12,-4.73,15,35.75,390,100,17.5,17.5,0.242,SP,COSA,477,0.437723205
1,21.32,2208,46.12,-4.58,15.72,35.73,385,100,17.1,17.1,0.242,SP,COSA,478,0.353640187
2,42.66,3518,46.12,-4.52,16.15,NA,392,100,17.3,17.3,0.242,SP,COSA,479,0.329278769
0,0,1581,46.12,-4.45,16.62,NA,382,101,16.9,16.9,0.242,SP,COSA,480,0.301794918
18,377.91,1346,46.12,-4.37,17.02,35.73,387,99,17.1,17.1,0.242,SP,COSA,481,0.275487927
8,150.1,1698,46.12,-4.3,17.75,NA,400,95,16.7,16.7,0.242,SP,COSA,482,0.244173158
6,115.09,1200,46.12,-4.23,18.27,NA,396,99,16.4,16.4,0.242,SP,COSA,483,0.190389991
1,17.18,1220,46.12,-4.15,18.65,NA,408,96,15.9,15.9,0.242,SP,COSA,484,0.142550366
0,0,189,46.12,-4.08,3.83,35.67,407,98,14.9,14.9,0.242,SP,COSA,485,0.100714452
1,18.16,154,46.12,-4.02,4.27,35.6,382,99,15.5,15.5,0.242,SP,COSA,486,0.059330969
0,0,151,46.12,-3.93,4.7,NA,396,98,15.6,15.6,0.242,SP,COSA,487,0.00025304
0,0,148,46.12,-3.87,5.25,NA,378,96,15.6,15.6,0.242,SP,COSA,488,0.031994215
7,124.29,152,46.12,-3.8,5.63,35.68,407,98,16,16,0.242,SP,COSA,489,0.068470269
0,0,147,46.12,-3.72,6.17,NA,406,98,15.9,15.9,0.242,SP,COSA,490,0.116851989
0,0,141,46.12,-3.65,6.62,NA,386,99,16.4,16.4,0.242,SP,COSA,491,0.159754603
0,0,138,46.12,-3.58,7.23,35.47,385,100,16.6,16.6,0.242,SP,COSA,492,0.202944713
0,0,137,46.12,-3.48,7.83,NA,389,99,16.5,16.5,0.242,SP,COSA,493,0.269138492
0,0,133,46.12,-3.43,8.33,NA,386,99,16.7,16.7,0.242,SP,COSA,494,0.308403784
0,0,133,46.12,-3.37,8.77,NA,375,101,16.9,16.9,0.242,SP,COSA,495,0.345559136
0,0,128,46.12,-3.28,9.33,35.5,392,98,17.4,17.4,0.242,SP,COSA,496,0.397314304
0,0,121,46.12,-3.15,10.13,NA,383,100,17.1,17.1,0.242,SP,COSA,497,0.484763269
0,0,117,46.12,-2.98,10.97,NA,393,101,17.2,17.2,0.242,SP,COSA,498,0.595556261
0,0,111,46.12,-2.92,11.42,35.21,424,99,17.5,17.5,0.242,SP,COSA,499,0.633780421
0,0,102,46.12,-2.72,12.55,NA,438,93,17,17,0.242,SP,COSA,500,0.749184922
0,0,94,46.12,-2.57,13.35,NA,376,89,16.8,16.8,0.242,SP,COSA,501,0.852021167
0,0,84,46.12,-2.48,13.82,NA,297,77,16.1,16.1,0.242,SP,COSA,502,0.919965914
0,0,71,46.08,-2.42,14.33,34.74,266,64,17.5,17.5,0.242,SP,COSA,503,0.925294875
0,0,64,46.08,-2.35,16.83,34.65,251,56,17.4,17.4,0.242,SP,COSA,504,0.942760965
2,36.63,51,46.08,-2.28,15.38,NA,196,41,17.8,17.8,0.242,SP,COSA,505,0.963259016
2,41.25,56,46.12,-2.22,16.05,NA,208,49,17.8,17.8,0.242,SP,COSA,506,1.015861203
0,0,58,46.12,-2.13,16.5,NA,206,49,17.7,17.7,0.242,SP,COSA,507,1.040383763
0,0,54,46.12,-2.07,16.93,NA,217,50,17.4,17.4,0.242,SP,COSA,508,1.058953803
0,0,36,46.37,-2.07,7.33,NA,143,31,17.2,17.2,0.242,SP,COSA,519,1.296797162
0,0,41,46.37,-2.22,8.25,34.44,149,35,17.3,17.3,0.242,SP,COSA,520,1.257543531
0,0,54,46.37,-2.35,9.08,34.9,211,46,17.2,17.2,0.242,SP,COSA,521,1.183842535
0,0,67,46.37,-2.48,10.08,NA,309,55,17.2,17.2,0.242,SP,COSA,522,1.094977653
0,0,73,46.37,-2.57,13,NA,258,66,16.5,16.5,0.242,SP,COSA,523,1.038546508
0,0,83,46.37,-2.63,13.5,35.2,308,71,16.7,16.7,0.242,SP,COSA,524,1.003650357
0,0,83,46.37,-2.72,14,NA,310,80,16.5,16.5,0.242,SP,COSA,525,0.953637781
0,0,100,46.37,-2.87,14.82,NA,394,94,16.9,16.9,0.242,SP,COSA,526,0.860129751
0,0,108,46.37,-2.98,15.57,35.31,375,99,16.8,16.8,0.242,SP,COSA,527,0.78150727
0,0,113,46.37,-3.15,16.47,NA,373,98,16.9,16.9,0.242,SP,COSA,528,0.676389742
0,0,117,46.37,-3.22,16.9,NA,403,100,16.9,16.9,0.242,SP,COSA,529,0.629692365
0,0,119,46.37,-3.28,17.67,NA,378,100,16.8,16.8,0.242,SP,COSA,530,0.587111262
0,0,119,46.37,-3.37,18.28,35.43,408,96,16.6,16.6,0.242,SP,COSA,531,0.529261022
0,0,124,46.37,-3.43,22.25,NA,402,98,16.6,16.6,0.242,SP,COSA,532,0.492217176
1,19.76,124,46.37,-3.52,22.75,NA,384,97,16.6,16.6,0.242,SP,COSA,533,0.436972077
0,0,127,46.37,-3.58,23.25,35.61,370,99,16.5,16.5,0.242,SP,COSA,534,0.400198408
0,0,133,46.37,-3.65,23.87,NA,369,99,16.6,16.6,0.242,SP,COSA,535,0.360009212
0,0,136,46.37,-3.73,0.35,NA,373,100,16.5,16.5,0.242,SP,COSA,536,0.318322294
0,0,138,46.37,-3.8,0.8,NA,378,99,16.6,16.6,0.242,SP,COSA,537,0.273426391
0,0,139,46.37,-3.87,1.25,35.64,390,98,16.5,16.5,0.242,SP,COSA,538,0.225145662
0,0,139,46.37,-3.95,1.72,NA,370,98,16.5,16.5,0.242,SP,COSA,539,0.164504013
0,0,141,46.37,-4.02,2.17,NA,374,100,16.1,16.1,0.242,SP,COSA,540,0.099902218
0,0,145,46.37,-4.08,2.88,NA,380,101,16.2,16.2,0.242,SP,COSA,541,0.05570484
0,0,148,46.37,-4.17,3.35,35.66,399,98,16.3,16.3,0.242,SP,COSA,542,0.009411632
0,0,154,46.37,-4.23,8.17,NA,390,100,16.1,16.1,0.242,SP,COSA,551,0.002467139
0,0,151,46.37,-4.3,8.5,35.66,375,100,15.7,15.7,0.242,SP,COSA,552,0.016325706
0,0,153,46.37,-4.38,9.25,NA,371,100,15.4,15.4,0.242,SP,COSA,553,0.046825808
1,18.01,166,46.37,-4.45,9.67,NA,389,100,15.5,15.5,0.242,SP,COSA,554,0.072071814
1,19.42,360,46.37,-4.53,10.03,NA,376,99,16,16,0.242,SP,COSA,555,0.1178849
5,95.09,690,46.37,-4.6,10.47,35.67,380,99,15.9,15.9,0.242,SP,COSA,556,0.167014438
12,220.08,914,46.37,-4.67,11.15,NA,386,100,15.6,15.6,0.242,SP,COSA,557,0.201349964
13,233.61,1317,46.37,-4.73,11.57,NA,382,99,15.4,15.4,0.242,SP,COSA,558,0.233951679
0,0,1330,46.37,-4.82,11.93,NA,387,98,15.9,15.9,0.242,SP,COSA,559,0.249429604
0,0,1699,46.37,-4.88,12.42,35.65,395,102,15.8,15.8,0.242,SP,COSA,560,0.257597809
0,0,2198,46.37,-4.95,12.82,NA,390,98,15.6,15.6,0.242,SP,COSA,561,0.257597809
0,0,2402,46.37,-5.03,13.27,NA,386,102,15.8,15.8,0.242,SP,COSA,562,0.266433984
0,0,2580,46.37,-5.1,13.72,NA,367,101,15.8,15.8,0.242,SP,COSA,563,0.292185272
0,0,2866,46.37,-5.17,14.13,35.64,389,98,15.3,15.3,0.242,SP,COSA,564,0.301995111
0,0,3291,46.37,-5.25,14.57,NA,410,101,15.5,15.5,0.242,SP,COSA,565,0.318629976
0,0,3370,46.37,-5.32,15,35.71,374,98,16,16,0.242,SP,COSA,566,0.344614301
